href,id,contents,key,date,contents_order,hate,hate_categories,hate_degree,position1,position2
/bbs/Gossiping/M.1632848225.A.970.html,ataki, 中國甚至很多地方都只有科興只勾莫德納是有多巨嬰,AZ,  1.164.112.178 09/29 01:12 ,24,1,3,3,,
/bbs/Gossiping/M.1632848225.A.970.html,Belanice, 可以打高端呀！嘻嘻，還可以去印尼,AZ,   114.137.25.5 09/29 03:47 ,92,1,,,,
/bbs/Gossiping/M.1632848225.A.970.html,likecheese, 這麼愛莫德納不會自己飛去美國打喔 臺灣鯛,AZ,  111.83.44.191 09/29 04:33 ,99,1,3,2,"(17,20)",
/bbs/Gossiping/M.1632848225.A.970.html,Neverfor, 可撥 我也是817他媽搶三小 打高端別來搶別的 幹,AZ,  1.200.156.114 09/29 05:01 ,100,1,3,1,"(6,25)",
/bbs/Gossiping/M.1632848225.A.970.html,RanceTsai, 哭三小 有最頂的高端不選怪誰,AZ,223.137.209.144 09/29 05:28 ,102,1,3,2,"(0,3)","(5,10)"
/bbs/Gossiping/M.1632848225.A.970.html,hohohoha, 什麼垃圾疫苗接種系統 沒幾號前預約就沒AZ不會開放一輪18+以上沒接踵先打完再開放第二劑預約嘛?搞不懂什麼垃圾系統,AZ,   114.40.201.5 09/29 06:46 ,114,1,4,1,"(2,10)","(53,57)"
/bbs/Gossiping/M.1632848225.A.970.html,hohohoha, BNT早就造冊的居然沒先扣掉 因為到貨延遲就緩施打 到底是什麼垃圾政府可以這麼無能!,AZ,   114.40.201.5 09/29 06:50 ,116,1,4,1,"(31,41)",
/bbs/Gossiping/M.1632848225.A.970.html,tudou5566, 你還有高端恭喜加入高端份子,AZ, 114.25.217.228 09/29 07:21 ,137,1,,,,
/bbs/Gossiping/M.1632848225.A.970.html,creatsy, 選擇只剩打高端和不打高端，自己選的政腐,AZ, 114.44.132.172 09/29 07:42 ,148,1,4,2,"(17,19)",
/bbs/Gossiping/M.1632848225.A.970.html,mingshin1235, 打高端可以去印尼啊,AZ,223.137.169.165 09/29 07:44 ,153,1,,,,
/bbs/Gossiping/M.1632848225.A.970.html,lovelebron24, 肏你媽的逼 還不趕快消化高端 把自己永遠困在國內地獄裡 別想出國辣幹,AZ,  59.115.97.141 09/29 08:13 ,171,1,5,1,"(0,5)","(33,34)"
/bbs/Gossiping/M.1632848225.A.970.html,repast, 7/19後的55歲一劑都還沒打到 7/19前的12歲卻有bnt 偉哉民進洞 再投給你我他媽北七,AZ,  27.242.192.73 09/29 09:12 ,184,1,4,1,"(32,37)","(42,46)"
/bbs/Gossiping/M.1632848225.A.970.html,jerrylin, 沒救  智商打哪種疫苗都救不了BNT郭董買的時候就說優先給學生打好嗎到底是誰不懂遊戲規則?,AZ,  114.38.222.99 09/29 09:56 ,193,1,,,,
/bbs/Gossiping/M.1632848225.A.970.html,Peter521, 有勾az 的也沒等到啊，幹,AZ, 114.43.131.122 09/29 14:08 ,217,1,,,,
/bbs/Gossiping/M.1632818022.A.015.html,panzerbug, AZ多如狗，二劑不愁,AZ,   42.72.226.29 09/28 16:35 ,3,1,,,,
/bbs/Gossiping/M.1632818022.A.015.html,twerk, AZ已經多到打不完? 看來可以捐給非洲了,AZ, 114.39.220.214 09/28 19:44 ,21,1,,,,
/bbs/Gossiping/M.1632813073.A.371.html,castjane, 高端全代工給東洋,AZ,  220.137.130.1 09/28 15:13 ,9,1,,,,
/bbs/Gossiping/M.1632808633.A.943.html,qoo1987, 你以為莫德納是天龍人結果是韭菜,AZ, 27.242.226.120 09/28 14:07 ,1,1,,,,
/bbs/Gossiping/M.1632802917.A.BF0.html,windsson, AZ再爛現階段也完勝高端,AZ,   211.22.63.32 09/28 12:26 ,3,1,,,,
/bbs/Gossiping/M.1632802917.A.BF0.html,aowen, 你高端仔膩,AZ,   1.200.20.186 09/28 13:15 ,28,1,,,,
/bbs/Gossiping/M.1632802917.A.BF0.html,fire124, 好的 高端仔,AZ, 220.130.51.238 09/28 13:16 ,29,1,,,,
/bbs/Gossiping/M.1632802917.A.BF0.html,tudou5566, 不然你要打只能去印尼的高端？,AZ,  42.72.158.132 09/28 14:52 ,44,1,,,,
/bbs/Gossiping/M.1632723983.A.C3A.html,circum, 再挑阿 再蝦機巴亂勾就是剩高端,AZ,  111.71.214.91 09/27 16:30 ,72,1,,,,
/bbs/Gossiping/M.1632722859.A.1A3.html,bryan51688, 幹你媽的什麼時候開放混打bnt啦,AZ,  27.246.97.210 09/28 03:25 ,88,1,,,,
/bbs/Gossiping/M.1632656749.A.EFB.html,eddisontw, 台灣疫苗政策很爛 護航高端很垃圾,AZ,  36.226.170.99 09/26 19:46 ,1,1,,,,
/bbs/Gossiping/M.1632656749.A.EFB.html,a76126, 我他媽就想問7年級第一劑在哪 不要跟我說高端 耖,AZ, 123.192.156.24 09/26 20:51 ,37,1,,,,
/bbs/Gossiping/M.1632586258.A.AA4.html,tudou5566, 只能去印尼的高端要算喔 笑死,AZ, 223.137.12.133 09/26 16:21 ,5,1,,,,
/bbs/Gossiping/M.1632580081.A.247.html,JackTheRippe, 疫苗乞丐、AZ回收桶威名遠播,AZ, 114.47.222.190 09/25 22:38 ,10,1,,,,
/bbs/Gossiping/M.1632580081.A.247.html,g1254501, AZ乞丐 名聞世界,AZ,   36.232.98.10 09/25 22:41 ,12,1,,,,
/bbs/Gossiping/M.1632548542.A.2E9.html,ahw12000, 幹幹幹 我上次打到泰國az 這次給我日本az好噗好,AZ,   114.40.19.36 09/25 13:45 ,15,1,,,,
/bbs/Gossiping/M.1632548542.A.2E9.html,mscp, 要飯仔政府真的來者不拒耶，誰送都收呢有本事怎麼不多去乞一點莫德納？只會回收人家準備丟垃圾桶的AZ？,AZ,    1.160.36.62 09/25 14:33 ,109,1,,,,
/bbs/Gossiping/M.1632539608.A.CC8.html,hikaru77613, 乞討來的還選？沒這些你就要打高端啦！,AZ,    27.51.66.89 09/25 11:39 ,37,1,,,,
/bbs/Gossiping/M.1632539608.A.CC8.html,arblest60056, AZ是窮人疫苗 當然會被黑,AZ,  42.73.168.142 09/25 11:47 ,45,1,,,,
/bbs/Gossiping/M.1632539608.A.CC8.html,wildsky, Az在國外現在就是不要的次級品，雖然抗重症不錯，台灣政府倒是開心當乞丐受別人不要的東西，德國政府都建議az第二劑混打mRNA了,AZ,     42.73.0.90 09/25 17:37 ,88,1,,,,
/bbs/Gossiping/M.1632539039.A.3A7.html,devicer, 高端和中國疫苗以外都可以,AZ,  61.65.248.178 09/25 12:07 ,101,1,,,,
/bbs/Gossiping/M.1632539039.A.3A7.html,JackaLMeI, 如果開放 韭菜怎麼混都是高端的命R,AZ,114.136.176.220 09/25 12:33 ,116,1,,,,
/bbs/Gossiping/M.1632539039.A.3A7.html,shinjangli, 不要高端都可以接受,AZ,    61.227.34.1 09/25 14:29 ,129,1,,,,
/bbs/Gossiping/M.1632513703.A.7EE.html,koreawargod, 不哭不鬧比較好，當個順民，不要扯國家的後腿如果是馬狗執政，搞成這樣的話早就一堆人出來幹幹叫了糙az還有機會，之前一堆人打莫德那，到現在等不到第二劑,AZ,103.226.215.141 09/25 16:26 ,16,1,,,,
/bbs/Gossiping/M.1632502525.A.6AF.html,yeangigi, === 快回送高端，避被人當乞丐 ===,AZ, 36.225.166.142 09/25 01:32 ,6,1,,,,
/bbs/Gossiping/M.1632501725.A.70D.html,sismiku, az也是韓柯糞口中的國際疫苗根本不用擔心 穩得很,AZ, 114.136.232.94 09/25 00:49 ,27,1,,,,
/bbs/Gossiping/M.1632501725.A.70D.html,sunny1225, 台灣終究成為最頂的AZ回收國家 讚喔,AZ, 219.85.178.101 09/25 01:09 ,59,1,,,,
/bbs/Gossiping/M.1632501725.A.70D.html,s860134, 超屌 世界AZ 回收場,AZ,    27.246.5.75 09/25 02:49 ,122,1,,,,
/bbs/Gossiping/M.1632501725.A.70D.html,joemi78, 鬼島高端多到滿出來,AZ,    39.9.97.130 09/25 06:07 ,156,1,,,,
/bbs/Gossiping/M.1632501725.A.70D.html,ChungLi5566, 別的國家AZ當垃圾 我們買的呢,AZ, 114.32.170.112 09/25 06:37 ,164,1,,,,
/bbs/Gossiping/M.1632501725.A.70D.html,miuccina, 不要再收沒用的AZ了啦！,AZ,   27.247.7.215 09/25 09:44 ,240,1,,,,
/bbs/Gossiping/M.1632492825.A.25A.html,donotsettle, 別人不要的AZ 台灣資源回收卻很開心,AZ, 123.194.42.149 09/24 22:14 ,3,1,,,,
/bbs/Gossiping/M.1632492825.A.25A.html,talrasha, 高端仔：淦,AZ,  61.223.119.68 09/24 22:16 ,18,1,,,,
/bbs/Gossiping/M.1632492825.A.25A.html,bnb89225, 拜託能不能送莫德納不要一直AZ,AZ,  223.136.62.74 09/24 22:19 ,35,1,,,,
/bbs/Gossiping/M.1632492825.A.25A.html,nitvx, 因為是乞討的  怎能挑  AZ是人家都不要DER,AZ, 220.138.152.10 09/24 22:20 ,38,1,,,,
/bbs/Gossiping/M.1632492825.A.25A.html,meto, 又送八卦板討厭的AZ,AZ, 180.217.33.143 09/24 22:21 ,41,1,,,,
/bbs/Gossiping/M.1632492825.A.25A.html,voyhanxu, AZ回收箱逆？,AZ,    114.42.8.73 09/24 22:25 ,57,1,,,,
/bbs/Gossiping/M.1632492825.A.25A.html,icolee, 全世界不要的AZ都來吧 收 都收,AZ, 36.225.199.105 09/24 22:29 ,72,1,,,,
/bbs/Gossiping/M.1632492825.A.25A.html,czm, 說AZ拉雞? 這叫 AZ特攻隊 好心肝 情何以堪,AZ,  220.141.125.8 09/24 23:03 ,125,1,,,,
/bbs/Gossiping/M.1632492825.A.25A.html,monkeydog119, 台派捧高端，卻一直乞AZ來打XDDD,AZ,  114.39.74.133 09/24 23:21 ,146,1,,,,
/bbs/Gossiping/M.1632492825.A.25A.html,mvb, AZ丐幫,AZ,   119.14.84.91 09/25 00:54 ,205,1,,,,
/bbs/Gossiping/M.1632492825.A.25A.html,letmesee3085, 丐幫不是都打高端，嘻嘻嘻嘻,AZ,   61.230.45.74 09/25 08:43 ,244,1,,,,
/bbs/Gossiping/M.1632492825.A.25A.html,sismiku, 韓柯糞笑死ㄌ 何必崩潰？AZ全世界施打率最高的疫苗 明明是不錯的有夠柯憐 難怪打不到疫苗,AZ, 114.136.232.94 09/25 09:04 ,245,1,,,,
/bbs/Gossiping/M.1632492825.A.25A.html,harry88910, 別人捐疫苗八卦又要開始崩潰洗AZ沒人打真的悲哀,AZ,  114.46.167.46 09/25 10:24 ,255,1,,,,
/bbs/Gossiping/M.1632491062.A.4B0.html,s6525480, AZ無糖去冰 手作特製 要比較久,AZ, 114.136.208.24 09/24 22:19 ,20,1,,,,
/bbs/Gossiping/M.1632387542.A.1A0.html,zainc, 郭董說BNT有留3千萬劑，也沒看政府積極去買，再那乞討幾萬幾萬的AZ...,AZ,   1.171.146.42 09/23 17:07 ,8,1,,,,
/bbs/Gossiping/M.1632383452.A.5A1.html,aggressorX, AZ當壯陽藥打,AZ,  36.231.43.133 09/23 15:53 ,22,1,,,,
/bbs/Gossiping/M.1632383452.A.5A1.html,earny, 我打完2劑莫德納後，已經軟杆2個月了,AZ,120.110.175.241 09/23 15:54 ,37,1,,,,
/bbs/Gossiping/M.1632383452.A.5A1.html,tudou5566, 好了 立陶宛不要的AZ要被台灣男人搶光了,AZ,  223.137.38.99 09/23 15:59 ,56,1,,,,
/bbs/Gossiping/M.1632383452.A.5A1.html,sunnyyoung, 以後每年打兩劑AZ強身健(海綿)體,AZ,   49.216.58.55 09/23 16:00 ,58,1,,,,
/bbs/Gossiping/M.1632383452.A.5A1.html,LoveMakeLove, 跟輝瑞威而鋼原本是高山症用藥因為副作用變成壯陽藥一樣。,AZ,  36.226.204.61 09/23 16:03 ,69,1,,,,
/bbs/Gossiping/M.1632383452.A.5A1.html,ghostl40809, AZ重返巔峰搭配威爾鋼阿,AZ,    1.162.58.70 09/23 16:08 ,81,1,,,,
/bbs/Gossiping/M.1632383452.A.5A1.html,zold, AZ 直接注射老二 ？？？？？？,AZ, 223.137.137.96 09/23 16:08 ,82,1,,,,
/bbs/Gossiping/M.1632383452.A.5A1.html,philae1112, 我打AZ軟了一天草泥馬,AZ,  49.217.197.92 09/23 17:29 ,158,1,,,,
/bbs/Gossiping/M.1632383452.A.5A1.html,LoveJapan, 八卦肥宅選AZ衝三小 又沒人幹,AZ,    1.34.82.225 09/23 19:33 ,210,1,,,,
/bbs/Gossiping/M.1632377169.A.208.html,kof2200, 一針高端，健康存，不健康歿。比做健康檢查還準，哪裡不好？,AZ,114.136.150.255 09/23 14:13 ,11,1,,,,
/bbs/Gossiping/M.1632377169.A.208.html,prkfcpr, AZ再差也不是高端能比的好嗎,AZ,     1.200.6.71 09/23 14:16 ,13,1,,,,
/bbs/Gossiping/M.1632372095.A.09C.html,keyofdejavu, az也是乞討到現在才沒那麼缺而已,AZ, 36.225.242.163 09/23 12:42 ,3,1,,,,
/bbs/Gossiping/M.1632372095.A.09C.html,xavier08, 說AZ差的就表示你是低端人口,AZ,   27.52.99.201 09/23 12:47 ,11,1,,,,
/bbs/Gossiping/M.1632369784.A.616.html,guhong, 我覺青朋友想打10劑高端,AZ,     1.200.34.6 09/23 12:04 ,14,1,,,,
/bbs/Gossiping/M.1632369784.A.616.html,kawazakiz2, 農產品都給國軍吃，高端一人打10支逆,AZ,  210.242.52.20 09/23 12:05 ,19,1,,,,
/bbs/Gossiping/M.1632369128.A.47F.html,meta41110, 凸( ???)凸美國爸爸承認BNT拿覽趴比沙小滾贛,AZ,114.40.74.197 09/23 11:54 ,5,1,,,,
/bbs/Gossiping/M.1632369128.A.47F.html,cmq29, 是郭台銘＋台積電付錢 垃圾政府根本沒買BNT,AZ,1.171.245.223 09/23 11:55 ,10,1,,,,
/bbs/Gossiping/M.1632369128.A.47F.html,wastetheone,  bnt各方面來說都是乞討來的,AZ,114.46.191.248 09/23 11:56 ,16,1,,,,
/bbs/Gossiping/M.1632369128.A.47F.html,EXUAN, 打了花錢的乞丐BNT的大學生上來問大家要打什麼？啊你都打完是要問什麼？,AZ,114.136.165.211 09/23 12:12 ,20,1,,,,
/bbs/Gossiping/M.1632367318.A.1E9.html,wawaking1, 自己代理bnt 結果韭菜沒資格打,AZ,114.136.106.134 09/23 11:23 ,4,1,,,,
/bbs/Gossiping/M.1632367318.A.1E9.html,neilisme, 行乞來的AZ跟BNT還好 高端的才真的慘,AZ,  61.216.64.210 09/23 11:26 ,8,1,,,,
/bbs/Gossiping/M.1632364552.A.C0C.html,veryGY, 乞丐國最高端,AZ,  114.25.36.150 09/23 10:40 ,11,1,,,,
/bbs/Gossiping/M.1632364552.A.C0C.html,LoliCar, 在BNT前面AZ就跟小廢物一樣 很難懂？,AZ,  101.10.13.253 09/23 10:42 ,15,1,,,,
/bbs/Gossiping/M.1632364552.A.C0C.html,shangguan125, 因為AZ就很爛啊,AZ,  42.74.185.111 09/23 11:45 ,35,1,,,,
/bbs/Gossiping/M.1632364552.A.C0C.html,JingJing00, 立陶宛羅馬尼亞不夠窮啊 你看打科興那幾個才真的窮,AZ,  79.231.109.69 09/23 12:55 ,41,1,,,,
/bbs/Gossiping/M.1632364457.A.EE3.html,SRadiant, BNT也是中國不要的垃圾，所以才先給我們了(掩面),AZ, 114.34.103.217 09/23 10:45 ,13,1,,,,
/bbs/Gossiping/M.1632364457.A.EE3.html,weijinsusu, 現在的高端就是過去的裕隆，因為他卡了很多東西,AZ, 180.217.42.114 09/23 10:55 ,18,1,,,,
/bbs/Gossiping/M.1632364457.A.EE3.html,vacuesen, 花錢買中國不要的bnt豈不更慘?,AZ,    117.56.5.93 09/23 11:22 ,27,1,,,,
/bbs/Gossiping/M.1632364457.A.EE3.html,linbasohigh, 莫得納給二類官員跟家人都解壓縮完了，剩下AZ就留給韭菜，順便假掰說自己沒挑疫苗,AZ,  218.164.5.116 09/23 13:54 ,32,1,,,,
/bbs/Gossiping/M.1632364156.A.2E3.html,pondaha, 幹你媽是看我們高端沒有喔我們明明有最頂的高段還想捐AZ?敢挑戰我們台灣價值,AZ,223.200.250.121 09/23 10:34 ,4,1,,,,
/bbs/Gossiping/M.1632363812.A.620.html,michaelwu, 一樓比起AZ更想全家打高端獻祭病毒,AZ,  1.164.234.249 09/23 10:26 ,3,1,,,,
/bbs/Gossiping/M.1632362062.A.F83.html,omoideomoi, 台：我們也不愛高端  立：不收垃圾,AZ,  1.164.235.247 09/23 09:57 ,42,1,,,,
/bbs/Gossiping/M.1632362062.A.F83.html,yeh0416, 拜託多乞一點莫德納拉,AZ, 223.140.241.56 09/23 09:57 ,47,1,,,,
/bbs/Gossiping/M.1632362062.A.F83.html,Alphaz, 寧願當乞丐也要把bnt拒於門外,AZ,223.137.186.141 09/23 09:59 ,74,1,,,,
/bbs/Gossiping/M.1632362062.A.F83.html,linfon00, 要給小黑人們高端,AZ, 223.136.77.132 09/23 09:59 ,86,1,,,,
/bbs/Gossiping/M.1632362062.A.F83.html,skygray2, 打AZ都比你去打那無良高端好多了,AZ,118.163.160.178 09/23 10:02 ,134,1,,,,
/bbs/Gossiping/M.1632362062.A.F83.html,TackoFall, 靠腰 不要那麼老實 你要打高端這種垃,AZ,  42.72.189.224 09/23 10:11 ,296,1,,,,
/bbs/Gossiping/M.1632362062.A.F83.html,scum5566, 就像別人跟我們要垃圾高端 我們也一定捐,AZ,  114.41.53.242 09/23 10:18 ,397,1,,,,
/bbs/Gossiping/M.1632362062.A.F83.html,scum5566, 難怪政府不要明年3000萬bnt 靠乞就行了,AZ,  114.41.53.242 09/23 10:20 ,429,1,,,,
/bbs/Gossiping/M.1632362062.A.F83.html,EFERO, 拿AZ來羞乳我 快點,AZ,    101.9.64.44 09/23 10:21 ,439,1,,,,
/bbs/Gossiping/M.1632362062.A.F83.html,dreamyello, 廢物政府買不到莫跟bnt怪我囉,AZ,  42.72.228.242 09/23 10:21 ,440,1,,,,
/bbs/Gossiping/M.1632362062.A.F83.html,JackTheRippe, 推誠實 台灣是世界知名的AZ回收桶,AZ,  223.139.44.14 09/23 10:25 ,483,1,,,,
/bbs/Gossiping/M.1632362062.A.F83.html,a00049g, 沒莫德納bnt還是要懶趴捏著打AZ啊，某粉破腦邏輯,AZ,   39.13.230.92 09/23 10:27 ,515,1,,,,
/bbs/Gossiping/M.1632362062.A.F83.html,stuangus, 真的是先知，知道AZ會送窮國,AZ, 110.30.176.154 09/23 10:28 ,534,1,,,,
/bbs/Gossiping/M.1632362062.A.F83.html,AngelMAyCry, 他媽的小心我們送你高端,AZ,    36.81.9.219 09/23 10:28 ,543,1,,,,
/bbs/Gossiping/M.1632362062.A.F83.html,Sony5555, 台灣有一堆自認高尚的猴子整天黑AZ,AZ,    42.74.59.57 09/23 10:32 ,603,1,,,,
/bbs/Gossiping/M.1632362062.A.F83.html,wenjie0810, 台灣自購的AZ都還沒到貨完成明明就是賣方的錯，一堆智障帶風向政,AZ,   1.169.105.48 09/23 10:36 ,667,1,,,,
/bbs/Gossiping/M.1632362062.A.F83.html,skullno2, AZ回收場 世界都知道了,AZ,     27.51.66.1 09/23 10:38 ,689,1,,,,
/bbs/Gossiping/M.1632362062.A.F83.html,meta41110, 豬油一定下標台灣又獲友邦立陶宛**萬AZ,AZ,  114.40.74.197 09/23 10:38 ,702,1,,,,
/bbs/Gossiping/M.1632362062.A.F83.html,umum29, 回贈高端 以毒攻毒,AZ,  67.188.233.67 09/23 10:40 ,733,1,,,,
/bbs/Gossiping/M.1632362062.A.F83.html,meta41110, 政府為殺小讓人民只能選AZ然後說我有給,AZ,  114.40.74.197 09/23 10:49 ,837,1,,,,
/bbs/Gossiping/M.1632362062.A.F83.html,s6525480, 滾回去政黑喝高端啦 媽的,AZ, 114.136.208.24 09/23 10:55 ,912,1,,,,
/bbs/Gossiping/M.1632362062.A.F83.html,a00049g, 有人說有拿到就好怎麼洽談bnt的果凍還要被某陣營的潑冷水,AZ,   39.13.230.92 09/23 11:00 ,951,1,,,,
/bbs/Gossiping/M.1632362062.A.F83.html,icolee, 沒關係 台灣早就是AZ回收站了 無所謂,AZ,  36.225.192.46 09/23 11:47 ,987,1,,,,
/bbs/Gossiping/M.1632362062.A.F83.html,heyjude0929, 可以回贈高端吧 至少可當飛鏢用,AZ, 114.136.43.154 09/23 12:27 ,1114,1,,,,
/bbs/Gossiping/M.1632362062.A.F83.html,aa2425, 高端也不受歡迎 可以回送立陶宛高端會不會被當垃圾丟掉阿？真想看,AZ, 180.217.47.171 09/23 12:43 ,1151,1,,,,
/bbs/Gossiping/M.1632362062.A.F83.html,whycare, 只要能降低致死率以及重症的疫苗就是好疫苗^^不是捐科興或國藥給台灣就好^^,AZ,  61.64.208.134 09/23 12:51 ,1171,1,,,,
