index,href,id,contents,key,date,contents_order,hate,categories,degree,keyword,position,categories_2,categories_3,categories_4,categories_5
7005,/bbs/Gossiping/M.1633000444.A.3BC.html,ilw4e,高端仔的世界地圖最後會縮到只有台灣,疫苗,     39.9.94.77 09/30 19:22 ,57,1,3,3,高端仔,"[(0, 3)]",0,1,0,0
14434,/bbs/Gossiping/M.1621911413.A.1EA.html,panzerbug,科興先給4趴打，謝謝，不打沒事越打越,疫苗,   42.72.88.164 05/25 11:05 ,141,1,3,3,4趴,"[(4, 6)]",0,1,0,0
11719,/bbs/Gossiping/M.1623638132.A.982.html,deep77092,蟑螂眼裡484只有高端跟科興D,疫苗,    1.200.66.65 06/14 10:37 ,4,1,3,2,蟑螂,"[(0, 2)]",0,1,0,0
11400,/bbs/Gossiping/M.1624106349.A.43B.html,azure,笑死基進智障的手臂都留給高端,疫苗,   1.200.74.250 06/19 20:45 ,322,1,3,2,基進智障,"[(2, 6)]",0,1,0,0
16451,/bbs/Gossiping/M.1630985005.A.F11.html,Croissantke,打完兩劑莫德納囉垃圾疫苗去死,高端,223.138.129.197 09/07 11:26 ,13,1,1,1,垃圾疫苗去死,"[(8, 14)]",0,0,0,0
13441,/bbs/Gossiping/M.1622441229.A.F4F.html,littlelinsyu,人家買足三倍人口需求量的疫苗幹我們只能打高端安慰劑,疫苗,   101.9.197.69 05/31 14:38 ,349,1,1,2,"幹,高端安慰劑","[(14, 15), (20, 25)]",0,0,0,0
2982,/bbs/Gossiping/M.1622280477.A.399.html,frankexs,還不是因為中央無能，才被迫打AZ,AZ,    39.9.222.27 05/29 17:49 ,211,1,4,2,中央無能,"[(5, 9)]",0,0,1,0
8411,/bbs/Gossiping/M.1629631388.A.40F.html,twdvdr,她現在也一劑還沒打跟20歲以上一起高端阿那叫嗑屁豬把名單交出來阿現在還在幫特權,疫苗,  36.224.221.15 08/22 19:40 ,41,1,4,2,嗑屁豬,"[(22, 25)]",0,0,1,0
1169,/bbs/Gossiping/M.1627707419.A.BBA.html,rexlin,打AZ挺高端這思維很義和團,AZ,  114.24.69.200 07/31 13:04 ,45,1,3,3,這思維很義和團,"[(6, 13)]",0,1,0,0
11488,/bbs/Gossiping/M.1624011360.A.127.html,Kapenza,他很清楚台灣的賤民只有高端可打，,疫苗,133.242.233.117 06/18 19:17 ,832,1,3,1,賤民,"[(7, 9)]",0,1,0,0
8473,/bbs/Gossiping/M.1629528374.A.062.html,pinkowa,817你他媽廢物啊？快出來打高端,疫苗,   1.200.29.185 08/21 15:20 ,116,1,3,2,"817,你他媽廢物","[(0, 3), (3, 8)]",0,1,0,0
13692,/bbs/Gossiping/M.1622360484.A.7A0.html,rustic5566,人命低端疫苗高端,疫苗,  1.169.137.188 05/30 15:45 ,68,1,5,2,低端疫苗高端,"[(2, 8)]",0,0,0,1
14027,/bbs/Gossiping/M.1622130376.A.324.html,VTX,你各位817國產高端給我吞下去+D14029,疫苗,   211.23.93.43 05/28 07:16 ,1146,1,3,3,817,"[(3, 6)]",0,1,0,0
12988,/bbs/Gossiping/M.1622589459.A.EE4.html,f1317913,政府無能跟是否故意卡疫苗差很多疫苗到貨是否真的有困難有人關心過嗎就只論高端五百萬你說要獨厚國產?那你們知道聯亞也同樣條件甚至要興櫃嗎,疫苗,123.192.183.147 06/02 07:39 ,17,1,4,2,"政府無能,故意卡疫苗","[(0, 4), (7, 12)]",0,0,1,0
14104,/bbs/Gossiping/M.1622108620.A.9B8.html,zeroBB,？垃圾817還想搶莫德納阿幹,疫苗, 150.116.218.50 05/27 18:04 ,760,1,3,1,垃圾817,"[(1, 6)]",0,1,0,0
6173,/bbs/Gossiping/M.1622607256.A.D7D.html,plutox,吃屎啦，他們只准打高端,bnt,42.72.227.249 06/02 12:16 ,29,1,5,2,"吃屎,只准打高端","[(0, 2), (6, 11)]",0,0,0,1
321,/bbs/Gossiping/M.1631329350.A.29A.html,qazzxc12351,博恩不是覺青嗎？怎麼不打高端,AZ, 114.36.109.158 09/11 12:34 ,166,1,3,3,覺青,"[(4, 6)]",0,1,0,0
82,/bbs/Gossiping/M.1632387542.A.1A0.html,zainc,郭董說BNT有留3千萬劑，也沒看政府積極去買，再那乞討幾萬幾萬的AZ...,AZ,   1.171.146.42 09/23 17:07 ,8,1,4,1,"政府,乞討","[(16, 18), (25, 27)]",0,0,1,0
13177,/bbs/Gossiping/M.1622523507.A.9B4.html,sean05269,國藥的給獸醫啊不是說狗也會得？給,疫苗, 111.241.143.84 06/01 12:59 ,6,1,1,2,"國藥,狗也會得","[(0, 2), (10, 14)]",0,0,0,0
9894,/bbs/Gossiping/M.1627210610.A.D9F.html,ww45654ww,科興這種垃圾早就該下架了把這種垃圾當認證根本禍害人間paper跟實證都證明沒用的垃圾,疫苗, 49.158.126.207 07/26 11:20 ,353,1,1,1,"科興,垃圾","[(0, 2), (4, 6), (15, 17), (40, 42)]",0,0,0,0
710,/bbs/Gossiping/M.1630386347.A.480.html,kurtsgm,就有個犯賤的嗆不打AZ又跑去偷打啊,AZ, 61.231.204.121 08/31 13:20 ,52,1,5,2,有個犯賤的,"[(1, 6)]",0,0,0,1
49,/bbs/Gossiping/M.1632808633.A.943.html,qoo1987,你以為莫德納是天龍人結果是韭菜,AZ, 27.242.226.120 09/28 14:07 ,1,1,3,3,"天龍人,韭菜","[(7, 10), (13, 15)]",0,1,0,0
11985,/bbs/Gossiping/M.1623422561.A.D01.html,airback76,蟑螂打高端就好啦,疫苗,   1.200.99.205 06/11 22:51 ,115,1,3,2,"蟑螂,打高端","[(0, 2), (2, 5)]",0,1,0,0
7277,/bbs/Gossiping/M.1632437367.A.E15.html,david12763,高端根本不該EUA的東西，就不要拿出來丟臉了，理論上最沒風險不代表他沒安全性數據就是安全阿幹,疫苗, 223.137.207.97 09/24 09:57 ,157,1,1,2,"高端,幹","[(0, 2), (45, 46)]",0,0,0,0
17545,/bbs/Gossiping/M.1629270161.A.8B6.html,partyaya,只要不智障去打科興打什麼有差嗎,高端, 36.235.175.246 08/18 15:25 ,13,1,3,2,智障,"[(3, 5)]",0,1,0,0
17343,/bbs/Gossiping/M.1629674705.A.F7F.html,Asbtt,817才崩潰吧。不打高端就變成垃圾817。,高端,    1.200.73.73 08/23 08:12 ,340,1,3,1,"817,垃圾817","[(0, 3), (17, 20), (15, 20)]",0,1,0,0
8664,/bbs/Gossiping/M.1629209159.A.61B.html,grandzxcv,萬一以後變成必要條件，你高端仔就吃土,疫苗,   39.12.163.40 08/18 01:24 ,69,1,3,3,高端仔,"[(12, 15)]",0,1,0,0
10259,/bbs/Gossiping/M.1626425392.A.60A.html,justice2008,慘了AZ戰隊的回力鏢要打到自己了==,疫苗,   114.32.14.43 07/16 17:15 ,172,1,3,3,AZ戰隊,"[(2, 6)]",0,1,0,0
7017,/bbs/Gossiping/M.1633000444.A.3BC.html,vincecarterx,可悲高端仔再次哭暈在廁所,疫苗, 219.70.206.238 10/01 08:13 ,358,1,3,3,高端仔,"[(2, 5)]",0,1,0,0
14728,/bbs/Gossiping/M.1621103013.A.F4E.html,kobebryant08,疫苗這一點蠻多政治人物都有責任問題就是疫苗不能強迫施打啊這一點怎麼超前？過去一年就沒什麼大案例一堆人覺得不打也沒事az次等疫苗不想打但保存期限就在哪裡到期前還來個大包,疫苗, 05/16 02:47 ,16,1,1,3,az次等疫苗,"[(57, 63)]",0,0,0,0
13835,/bbs/Gossiping/M.1622263408.A.839.html,Wimadison,連人家不要的垃圾AZ，數量少的可憐,疫苗,   101.9.91.146 05/29 12:49 ,15,1,1,1,垃圾AZ,"[(6, 10)]",0,0,0,0
438,/bbs/Gossiping/M.1630878912.A.26C.html,st002650,高端打外國人出問題是國際問題，打進韭菜裡就好，出問題免處理還有人會護航,AZ,  123.252.30.94 09/06 14:05 ,37,1,3,3,打進韭菜裡,"[(15, 20)]",0,1,0,0
2507,/bbs/Gossiping/M.1623311614.A.8F5.html,scott032,817國慘我打AZ給你們,AZ,  36.236.228.14 06/10 16:09 ,187,1,1,2,817國慘,"[(0, 5)]",0,0,0,0
1476,/bbs/Gossiping/M.1626579564.A.678.html,geeg,覺青教授應該打國產疫苗，結果還是莫德納,AZ, 114.137.202.26 07/18 11:42 ,59,1,3,3,覺青教授,"[(0, 4)]",0,1,0,0
13805,/bbs/Gossiping/M.1622277687.A.CCA.html,sjfrnbu,鄉民沒有BNT的份啦不要妄想,疫苗,   42.76.133.74 05/29 16:46 ,93,1,3,3,鄉民沒有,"[(0, 4)]",0,1,0,0
7171,/bbs/Gossiping/M.1632784856.A.711.html,flavorBZ,高端仔愛台灣就留在台灣吧好像有個高端仔不能出去,疫苗,219.69.105.154 09/28 07:24 ,4,1,3,3,高端仔,"[(0, 3), (16, 19)]",0,1,0,0
3479,/bbs/Gossiping/M.1632703895.A.2F9.html,funami087,馬的反觀政府只會推高端而已,bnt,  101.12.44.237 09/27 13:01 ,1009,1,4,1,"馬的,政府,高端","[(18, 22)]",0,0,1,0
5955,/bbs/Gossiping/M.1623484418.A.10D.html,agoodjob,下賤的蟑螂記得去打高端,bnt,125.230.220.167 06/12 16:22 ,486,1,3,1,"下賤的蟑螂,打高端","[(0, 9), (13, 16)]",0,1,0,0
1493,/bbs/Gossiping/M.1626577681.A.E15.html,grayoasis,817萬高端粉站出來挺葛格！,AZ,122.116.200.241 07/18 11:09 ,12,1,3,3,817萬高端粉,"[(0, 7)]",0,1,0,0
16287,/bbs/Gossiping/M.1631679596.A.5C8.html,ssisters,不要以為政府沒強逼人民打高端就沒事它消極向廠商催貨拖延老人家第二劑施打時間就有謀財害命的嫌疑,高端,  121.254.99.35 09/15 12:27 ,25,1,4,3,"政府,消極向廠商催貨,謀財害命的嫌疑","[(4, 6), (18, 25), (39, 46)]",0,0,1,0
6195,/bbs/Gossiping/M.1622545878.A.C99.html,kinmengon,會那些垃圾一定還是來搶打BNT,bnt,114.137.121.164 06/01 19:25 ,35,1,3,1,垃圾,"[(3, 5)]",0,1,0,0
15177,/bbs/Gossiping/M.1633020541.A.F09.html,brad001,推文一堆連AZ都打不到的悲憤文盲有夠可憐內文就說是政府造冊的剛好打到莫我爸我大哥也是政府造冊當天才知道是莫7月初到現在也還沒打第二劑,莫德納,   1.169.200.42 10/01 04:11 ,143,1,3,2,悲憤文盲有夠可憐,"[(12, 20)]",0,1,0,0
10791,/bbs/Gossiping/M.1624926783.A.998.html,linbsing,能說聯亞對英印變種保護9成就垃圾了,疫苗,   39.10.135.86 06/29 09:41 ,47,1,5,1,"聯亞,垃圾","[(2, 4), (14, 16)]",0,0,0,1
18234,/bbs/Gossiping/M.1623887111.A.DB2.html,sam8921502,蟑螂還在笑伊維菌素是狗藥結果高端..,高端, 111.248.24.203 06/17 08:14 ,286,1,3,2,"蟑螂,狗藥","[(0, 2), (10, 12)]",0,1,0,0
12093,/bbs/Gossiping/M.1623321767.A.FD5.html,anoreader,幹林涼三民自全給滾去打高端！！,疫苗,  36.227.139.37 06/10 19:51 ,297,1,3,1,"幹林涼,三民自,打高端","[(0, 3), (3, 6), (10, 13)]",0,1,0,0
13199,/bbs/Gossiping/M.1622519790.A.76E.html,good90150,量你媽小，便你媽宜，隔壁bnt五百萬劑,疫苗,  27.242.132.97 06/01 11:59 ,32,1,1,2,"量你媽小,便你媽宜","[(0, 4), (5, 9)]",0,0,0,0
17368,/bbs/Gossiping/M.1629616004.A.5B9.html,carsly,高端鼠喝高端水沒事,高端,223.136.186.236 08/22 16:51 ,301,1,3,2,高端鼠,"[(0, 3)]",0,1,0,0
941,/bbs/Gossiping/M.1628816853.A.274.html,Ceferino,被高端屌打的廢物,AZ, 27.240.200.156 08/13 10:02 ,73,1,1,2,被高端屌打的廢物,"[(0, 8)]",0,0,0,0
3096,/bbs/Gossiping/M.1621823153.A.510.html,TZUYIC,覺青又死到哪裡了，日本大哥哥買了一批AZ,AZ, 111.71.214.191 05/24 10:31 ,23,1,3,2,"覺青,死到哪裡","[(10, 13), (14, 18)]",0,1,0,0
11759,/bbs/Gossiping/M.1623579396.A.A39.html,amphiprion,低端人打高端,疫苗,  27.242.40.178 06/13 18:17 ,6,1,3,2,"低端人,打高端","[(0, 3), (3, 6)]",0,1,0,0
14578,/bbs/Gossiping/M.1621609394.A.E47.html,zzzzaaaa,我之前看很多新聞都報導這41萬az疫苗是被蟑螂稱為CHO所,疫苗, 05/21 23:36 ,179,1,3,2,蟑螂,"[(21, 23)]",0,1,0,0
10886,/bbs/Gossiping/M.1624689272.A.9E5.html,lnnall,他媽的不敢打高端喔廢物,疫苗,   42.72.226.60 06/26 14:44 ,40,1,5,2,"他媽的,廢物","[(0, 3), (9, 11)]",0,0,0,1
18237,/bbs/Gossiping/M.1623863988.A.97A.html,tsao1211,無知言論唉蟑螂一堆高端老闆都自己講沒錢了，你還以為他要做三期喔,高端,  27.53.128.163 06/17 01:58 ,34,1,3,2,蟑螂,"[(5, 7)]",0,1,0,0
15651,/bbs/Gossiping/M.1626526968.A.29A.html,rynochan,AZ副作用公認比較小，一群被洗腦的真無言,莫德納,  36.236.228.31 07/17 21:55 ,38,1,3,3,被洗腦的,"[(13, 17)]",0,1,0,0
2779,/bbs/Gossiping/M.1622736936.A.EE6.html,leecoco,蟑螂打高端二期啦,AZ,220.133.219.10 06/04 00:18 ,9,1,3,2,蟑螂打高端,"[(0, 5)]",0,1,0,0
4025,/bbs/Gossiping/M.1630384328.A.FE7.html,DEAKUNE,？高端給韭菜就夠啦,bnt,      39.12.9.1 08/31 16:13 ,470,1,3,3,"高端,韭菜","[(0, 6)]",0,1,0,0
6765,/bbs/Gossiping/M.1632820461.A.39E.html,Dia149,高端爛死,國藥,223.136.101.189 09/28 17:15 ,7,1,1,2,"高端,爛","[(0, 2), (2, 3)]",0,0,0,0
12754,/bbs/Gossiping/M.1622721775.A.99E.html,abadjoke,靠內餡拿高端股的準備吃屎囉爽,疫苗,  106.154.2.176 06/03 20:05 ,18,1,3,2,"高端股,吃屎","[(4, 7), (10, 12)]",0,1,0,0
12319,/bbs/Gossiping/M.1623032617.A.1B3.html,abadjoke,無腦支持高端的低素質817不要來剛好水準這麼低跑來日本也是負責丟臉而已,疫苗, 133.106.32.165 06/07 10:55 ,81,1,3,2,"無腦支持高端,低素質817,丟臉","[(0, 6), (7, 13), (31, 33)]",0,1,0,0
1650,/bbs/Gossiping/M.1626359968.A.7D8.html,hipmyhop,AZ就是給窮鬼打的,AZ, 61.222.134.105 07/15 22:42 ,9,1,1,2,AZ就是給窮鬼打的,"[(0, 9)]",0,0,0,0
5725,/bbs/Gossiping/M.1624005895.A.70E.html,MTBF,德納AZ的腦袋和程度真的很差,bnt, 220.141.121.67 06/18 16:50 ,37,1,3,2,"腦袋,程度,很差","[(10, 14)]",0,1,0,0
2732,/bbs/Gossiping/M.1622774037.A.3BD.html,nikolas,沒意外的話蟑螂要開始發動黑AZ血栓攻勢,AZ,  180.217.8.182 06/04 10:39 ,63,1,3,2,"蟑螂,黑AZ","[(5, 7), (12, 15)]",0,1,0,0
6296,/bbs/Gossiping/M.1622285116.A.A9A.html,w73787960,覺青等國產，BNT疫苗不要跟我搶,bnt,  101.10.45.134 05/29 18:48 ,41,1,3,3,"覺青,等國產","[(0, 2), (2, 5)]",0,1,0,0
17066,/bbs/Gossiping/M.1629872570.A.636.html,CVIVIC,用邏輯打高端才是吧腦殘,高端, 115.165.193.61 08/25 15:39 ,514,1,3,2,"打高端,腦殘","[(3, 6), (9, 11)]",0,1,0,0
1770,/bbs/Gossiping/M.1626205248.A.B43.html,wallace1202,大概忘有莫得那&BNT了，可憐吱蟑都這樣洗嗎？,AZ,   1.160.102.52 07/14 21:54 ,231,1,3,2,吱蟑,"[(15, 17)]",0,1,0,0
4494,/bbs/Gossiping/M.1629900770.A.BAE.html,return517,干擬老木，先給學生做什麼？滾去打高端啦,bnt,223.139.146.208 08/25 22:45 ,100,1,3,1,"干擬老木,滾去打高端","[(0, 4), (8, 10), (12, 15)]",0,1,0,0
12247,/bbs/Gossiping/M.1623141989.A.8A8.html,ming0250,幹為啥不是特權的強制注射一劑高端讓大家都成為高端仔,疫苗, 180.217.16.140 06/08 16:48 ,13,1,3,3,"幹,特權的強制注射,高端仔","[(0, 1), (5, 12), (22, 25)]",0,1,0,0
7341,/bbs/Gossiping/M.1632210439.A.4D4.html,edwardting,高端仔只能偷渡了,疫苗,   49.216.40.92 09/21 19:20 ,375,1,3,3,高端仔,"[(0, 3)]",0,1,0,0
17094,/bbs/Gossiping/M.1629865257.A.D8B.html,g1254501,坐等蟑螂起手式AZ,高端,  114.41.79.134 08/25 14:59 ,1253,1,3,2,蟑螂,"[(2, 4)]",0,1,0,0
17046,/bbs/Gossiping/M.1629881495.A.325.html,WFSGT,那你大概也要說自己的腦子希望這版希望打高端的人都死了吧，你關心所以你希望...？？？,高端,   1.200.125.14 08/25 17:26 ,187,1,3,1,打高端的人都死,"[(18, 25)]",0,1,0,0
18229,/bbs/Gossiping/M.1623945789.A.51F.html,beta0907,高端打手垃圾,高端,   49.216.18.33 06/18 04:04 ,351,1,5,1,"高端,垃圾","[(0, 2), (4, 6)]",0,0,0,1
14294,/bbs/Gossiping/M.1622007092.A.9BE.html,jnecoj,我柯糞我打BNT，行不,疫苗, 49.216.240.145 05/26 13:55 ,93,1,3,1,柯糞,"[(1, 3)]",0,1,0,0
15868,/bbs/Gossiping/M.1622816057.A.8C1.html,littenVenus,賤民只能打高端,莫德納, 114.136.19.247 06/04 22:30 ,15,1,3,1,"賤民,打高端","[(0, 2), (4, 7)]",0,1,0,0
2256,/bbs/Gossiping/M.1624107870.A.245.html,lionghe,反正不會是高端，幹,AZ,  36.229.226.92 06/19 22:26 ,234,1,1,1,"不會是高端,幹","[(2, 7), (8, 9)]",0,0,0,0
1179,/bbs/Gossiping/M.1627701625.A.769.html,KEYSOLIDER,好險不是科興國藥,AZ,  223.138.228.4 07/31 12:06 ,154,1,1,3,不是科興國藥,"[(2, 8)]",0,0,0,0
12414,/bbs/Gossiping/M.1622938317.A.1D1.html,ogcman,國外疫苗一直進來高端仔一整個精神錯亂,疫苗,   112.105.52.7 06/06 08:50 ,440,1,3,3,高端仔,"[(8, 11)]",0,1,0,0
2217,/bbs/Gossiping/M.1624185235.A.8AF.html,Atropos0723,要等，不想打國產就等而已吧？BNT到貨也不會快到哪裡去的我哪有叫你打國產，你閱讀障礙嗎？我是說你要選擇等或打，就這樣而已國產疫苗有疑慮就不要打，沒人逼你打,AZ,  123.193.4.163 06/20 19:00 ,9,1,5,1,"叫你打國產,閱讀障礙,沒人逼你打","[(31, 36), (38, 42), (72, 77)]",0,0,0,1
13525,/bbs/Gossiping/M.1622414605.A.CFB.html,kennylin1130,817搶打高端儲值！,疫苗, 111.82.248.244 05/31 09:04 ,272,1,3,3,817,"[(0, 3)]",0,1,0,0
12915,/bbs/Gossiping/M.1622618211.A.366.html,saiboos,國外都用低端，我們有高端,疫苗,118.165.101.171 06/02 15:32 ,217,1,1,2,"國外,用低端","[(0, 2), (3, 6)]",0,0,0,0
4365,/bbs/Gossiping/M.1630044559.A.459.html,wald5566,817打高端哦記得唷,bnt,   42.73.43.221 08/27 14:26 ,209,1,3,3,"817,打高端","[(0, 3)]",0,1,0,0
1385,/bbs/Gossiping/M.1626859316.A.C06.html,withthewind,我817朋友預約打AZ，賴我們支持高端還說可惜先預約AZ了，笑死，不會取消喔,AZ,  36.228.90.138 07/21 22:35 ,17,1,3,3,817,"[(1, 4)]",0,1,0,0
7312,/bbs/Gossiping/M.1632210439.A.4D4.html,yenyen0403,高端甲塞了,疫苗,   42.77.82.146 09/21 15:48 ,7,1,1,2,高端甲塞,"[(0, 4)]",0,0,0,0
7226,/bbs/Gossiping/M.1632535280.A.F1F.html,grandzxcv,打高端才不屑去這個爛國,疫苗, 110.30.121.133 09/25 11:40 ,276,1,2,2,爛國,"[(9, 11)]",1,0,0,0
13407,/bbs/Gossiping/M.1622448894.A.D8F.html,imsphzzz,台灣賤民打高端，高官打國外的,疫苗, 49.216.145.233 05/31 16:20 ,40,1,3,2,賤民,"[(2, 4)]",0,1,0,0
1713,/bbs/Gossiping/M.1626332619.A.233.html,toraku88,AZ美國不承認歐洲60路以上這叫沒差別!還有等到武漢肺炎變流感再說吧別練梟話沒出國只待在台灣當井蛙你沒打都沒關係網路時代有你這種言論大概70路以上吧你不要跟我說你年輕人你跟黃越綏有拚,AZ,   122.121.50.5 07/15 15:18 ,4,1,5,2,"別練梟話,待在台灣當井蛙","[(34, 38), (42, 49)]",0,0,0,1
10640,/bbs/Gossiping/M.1625569461.A.4BC.html,onlygoog,az是下等人用的,疫苗,  112.78.90.206 07/06 20:36 ,163,1,1,2,"az,下等人用的","[(0, 2), (3, 8)]",0,0,0,0
10934,/bbs/Gossiping/M.1624510486.A.D69.html,Qcloud,看人家我們高端881。越南這什麼爛疫苗,疫苗,114.137.105.176 06/24 16:42 ,872,1,2,2,"越南,爛疫苗","[(11, 13), (16, 19)]",1,0,0,0
10933,/bbs/Gossiping/M.1624510486.A.D69.html,cheng399,三小爛國家做什麼疫苗還是高端好,疫苗, 175.176.17.249 06/24 15:18 ,792,1,2,2,三小爛國家,"[(0, 5)]",1,0,0,0
62,/bbs/Gossiping/M.1632539608.A.CC8.html,wildsky,Az在國外現在就是不要的次級品，雖然抗重症不錯，台灣政府倒是開心當乞丐受別人不要的東西，德國政府都建議az第二劑混打mRNA了,AZ,     42.73.0.90 09/25 17:37 ,88,1,4,1,"Az,次級品,台灣政府,乞丐","[(0, 2), (12, 15), (24, 28), (33, 35)]",0,0,1,0
15302,/bbs/Gossiping/M.1631664995.A.590.html,Jeter,低端人口打高端疫苗,莫德納,   42.72.61.224 09/15 09:21 ,806,1,3,2,低端人口打高端疫苗,"[(0, 9)]",0,1,0,0
14181,/bbs/Gossiping/M.1622077371.A.8A4.html,marginal5566,中國打個屁壓本來都談好買BNT垃圾母豬為了圖利台廠自己不要,疫苗,    101.10.15.0 05/27 13:11 ,1270,1,3,1,"垃圾母豬,圖利台廠","[(15, 19), (21, 25)]",0,1,0,0
13203,/bbs/Gossiping/M.1622519627.A.E5C.html,as999,中國最愛面子，敢在bnt裡附帶國藥，不用想國藥就是現在中國最強疫苗,疫苗,   42.74.166.25 06/01 11:57 ,8,1,2,3,"中國,在bnt裡附帶國藥","[(0, 2), (27, 29), (8, 17)]",1,0,0,0
4315,/bbs/Gossiping/M.1630110653.A.6F2.html,lnmp,明明是垃圾cdc決定給學生打bnt的，出事還想怪別人？怕出事不會拿莫德納給學生打喔？垃,bnt, 114.27.100.131 08/28 08:37 ,24,1,4,1,垃圾cdc,"[(0, 1), (18, 20)]",0,0,1,0
10116,/bbs/Gossiping/M.1626687097.A.727.html,jesiuty,一直都是菸蟑在推科興這心到底有多黑是,疫苗, 114.40.173.183 07/19 20:34 ,1154,1,3,2,菸蟑,"[(4, 6)]",0,1,0,0
5948,/bbs/Gossiping/M.1623484418.A.10D.html,zxchunterzxc,BNT+1，817去打國慘,bnt,223.141.229.235 06/12 16:07 ,246,1,3,2,817去打國慘,"[(0, 3), (13, 18)]",0,1,0,0
8096,/bbs/Gossiping/M.1630130114.A.BF2.html,XZXie,高端仔走開啦,疫苗,218.164.212.109 08/28 13:55 ,5,1,3,3,高端仔,"[(0, 3)]",0,1,0,0
14402,/bbs/Gossiping/M.1621933990.A.0C2.html,kiralin,BNT我就打啊要死垃圾蟑螂去死就好,疫苗, 122.121.69.234 05/25 18:29 ,849,1,3,1,死垃圾蟑螂去死,"[(8, 15)]",0,1,0,0
10039,/bbs/Gossiping/M.1626844941.A.6C6.html,gordan123,搶著打AZ，喊著買中國垃圾疫苗,疫苗,101.137.183.101 07/21 13:27 ,34,1,2,1,中國垃圾疫苗,"[(9, 15)]",1,0,0,0
7124,/bbs/Gossiping/M.1632801408.A.E18.html,lesnaree2,高端仔：哈哈科興也沒有,疫苗,    111.71.81.5 09/28 12:00 ,15,1,3,3,高端仔,"[(0, 3)]",0,1,0,0
14100,/bbs/Gossiping/M.1622108620.A.9B8.html,freeclouds,817打國產別搶莫德納阿,疫苗, 180.217.37.169 05/27 17:50 ,242,1,3,3,817,"[(0, 3)]",0,1,0,0
4478,/bbs/Gossiping/M.1629902845.A.1A0.html,bbn826330410,疫苗政策真的爛透，吹一嘴高端，打國際疫苗,bnt,111.242.210.150 08/26 01:59 ,811,1,4,2,"疫苗政策,爛透","[(49, 51), (52, 54)]",0,0,1,0
10651,/bbs/Gossiping/M.1625560383.A.05B.html,fajita,光頭蘇，時鐘都打AZ了，你叫1000萬民眾打國慘，大家會服氣？國慘的沒戲唱了,疫苗,  180.177.0.120 07/06 17:30 ,8,1,1,2,國慘,"[(22, 24), (31, 33)]",0,0,0,0
1000,/bbs/Gossiping/M.1628514327.A.647.html,brepus,你國際疫苗買夠要買高端沒意見。阿國際疫苗不買夠操你媽,AZ,223.137.188.127 08/09 21:20 ,64,1,4,1,操你媽,"[(23, 26)]",0,0,1,0
17708,/bbs/Gossiping/M.1628741019.A.F4D.html,toyni,操你媽立委打三小莫德納,高端, 126.254.102.51 08/12 12:42 ,119,1,3,1,操你媽立委打三小,"[(0, 8)]",0,1,0,0
14395,/bbs/Gossiping/M.1621933990.A.0C2.html,Mazda6,是bnt垃圾標題,疫苗, 114.137.83.194 05/25 17:40 ,596,1,5,1,垃圾標題,"[(4, 8)]",0,0,0,1
