index,href,id,contents,key,date,contents_order,hate,categories,degree,keyword
28,/bbs/Gossiping/M.1632986944.A.E94.html,youtrue,莫德納反而變孤兒了,AZ,   42.73.171.48 09/30 15:38 ,24,1,1,1,"莫德納,孤兒"
29,/bbs/Gossiping/M.1632986944.A.E94.html,STAEGG,幹你娘我35啥時能打BNT,AZ,  101.10.104.50 09/30 15:44 ,34,1,5,1,幹你娘
30,/bbs/Gossiping/M.1632986944.A.E94.html,pm2001,你各位勞工乖乖打高端阿笑死,AZ, 140.137.198.18 09/30 15:47 ,39,1,3,2,"勞工,打高端"
31,/bbs/Gossiping/M.1632986944.A.E94.html,randy211161,24歲打不到BNT爛政府,AZ,   42.72.56.230 09/30 16:40 ,86,1,4,1,爛政府
32,/bbs/Gossiping/M.1632986944.A.E94.html,coolp77,幹你娘我42今年8月才變慢性病什麼時候我他媽才有bnt可以打幹,AZ,111.240.114.193 09/30 19:25 ,119,1,5,1,"幹你娘,我他媽,幹"
33,/bbs/Gossiping/M.1632900907.A.AA8.html,carsly,垃圾AZ就別人不要的，撿垃圾拿來當政績,AZ,   111.71.43.96 09/29 16:09 ,67,1,1,1,"垃圾AZ,撿垃圾"
34,/bbs/Gossiping/M.1632848225.A.970.html,dos32408,不打高端就是活該,AZ, 223.137.126.66 09/29 01:03 ,11,1,3,3,"不打高端,活該"
35,/bbs/Gossiping/M.1632848225.A.970.html,kch0520,自己執意只勾選要莫德納，活該,AZ,  220.141.10.13 09/29 01:11 ,23,1,3,3,活該
36,/bbs/Gossiping/M.1632848225.A.970.html,ataki,中國甚至很多地方都只有科興只勾莫德納是有多巨嬰,AZ,  1.164.112.178 09/29 01:12 ,24,1,3,2,巨嬰
37,/bbs/Gossiping/M.1632848225.A.970.html,likecheese,這麼愛莫德納不會自己飛去美國打喔臺灣鯛,AZ,  111.83.44.191 09/29 04:33 ,99,1,3,2,臺灣鯛
38,/bbs/Gossiping/M.1632848225.A.970.html,Neverfor,可撥我也是817他媽搶三小打高端別來搶別的幹,AZ,  1.200.156.114 09/29 05:01 ,100,1,3,1,"817他媽搶三小,幹"
39,/bbs/Gossiping/M.1632848225.A.970.html,RanceTsai,哭三小有最頂的高端不選怪誰,AZ,223.137.209.144 09/29 05:28 ,102,1,5,1,哭三小
40,/bbs/Gossiping/M.1632848225.A.970.html,hohohoha,什麼垃圾疫苗接種系統沒幾號前預約就沒AZ不會開放一輪18+以上沒接踵先打完再開放第二劑預約嘛?搞不懂什麼垃圾系統,AZ,   114.40.201.5 09/29 06:46 ,114,1,4,1,"垃圾疫苗,垃圾系統"
41,/bbs/Gossiping/M.1632848225.A.970.html,hohohoha,BNT早就造冊的居然沒先扣掉因為到貨延遲就緩施打到底是什麼垃圾政府可以這麼無能!,AZ,   114.40.201.5 09/29 06:50 ,116,1,4,2,"垃圾政府,無能"
42,/bbs/Gossiping/M.1632848225.A.970.html,tudou5566,你還有高端恭喜加入高端份子,AZ, 114.25.217.228 09/29 07:21 ,137,1,3,3,高端份子
43,/bbs/Gossiping/M.1632848225.A.970.html,creatsy,選擇只剩打高端和不打高端，自己選的政腐,AZ, 114.44.132.172 09/29 07:42 ,148,1,4,1,政腐
44,/bbs/Gossiping/M.1632848225.A.970.html,lovelebron24,肏你媽的逼還不趕快消化高端把自己永遠困在國內地獄裡別想出國辣幹,AZ,  59.115.97.141 09/29 08:13 ,171,1,5,1,"肏你媽的逼,國內地獄,幹"
45,/bbs/Gossiping/M.1632848225.A.970.html,repast,7/19後的55歲一劑都還沒打到7/19前的12歲卻有bnt偉哉民進洞再投給你我他媽北七,AZ,  27.242.192.73 09/29 09:12 ,184,1,4,1,"偉哉民進洞,我他媽北七"
46,/bbs/Gossiping/M.1632848225.A.970.html,jerrylin,沒救智商打哪種疫苗都救不了BNT郭董買的時候就說優先給學生打好嗎到底是誰不懂遊戲規則?,AZ,  114.38.222.99 09/29 09:56 ,193,1,3,1,沒救智商打哪種疫苗都救不了
47,/bbs/Gossiping/M.1632848225.A.970.html,Peter521,有勾az的也沒等到啊，幹,AZ, 114.43.131.122 09/29 14:08 ,217,1,5,2,幹
48,/bbs/Gossiping/M.1632818022.A.015.html,panzerbug,AZ多如狗，二劑不愁,AZ,   42.72.226.29 09/28 16:35 ,3,1,1,2,AZ多如狗
49,/bbs/Gossiping/M.1632808633.A.943.html,qoo1987,你以為莫德納是天龍人結果是韭菜,AZ, 27.242.226.120 09/28 14:07 ,1,1,3,3,"天龍人,韭菜"
50,/bbs/Gossiping/M.1632802917.A.BF0.html,windsson,AZ再爛現階段也完勝高端,AZ,   211.22.63.32 09/28 12:26 ,3,1,1,1,"AZ再爛,完勝高端"
51,/bbs/Gossiping/M.1632802917.A.BF0.html,aowen,你高端仔膩,AZ,   1.200.20.186 09/28 13:15 ,28,1,3,3,高端仔
52,/bbs/Gossiping/M.1632802917.A.BF0.html,fire124,好的高端仔,AZ, 220.130.51.238 09/28 13:16 ,29,1,3,3,高端仔
53,/bbs/Gossiping/M.1632802917.A.BF0.html,tudou5566,不然你要打只能去印尼的高端？,AZ,  42.72.158.132 09/28 14:52 ,44,1,1,3,只能去印尼的高端
54,/bbs/Gossiping/M.1632722859.A.1A3.html,bryan51688,幹你媽的什麼時候開放混打bnt啦,AZ,  27.246.97.210 09/28 03:25 ,88,1,4,1,幹你媽
55,/bbs/Gossiping/M.1632656749.A.EFB.html,eddisontw,台灣疫苗政策很爛護航高端很垃圾,AZ,  36.226.170.99 09/26 19:46 ,1,1,4,1,"疫苗政策,爛護航高端,垃圾"
56,/bbs/Gossiping/M.1632656749.A.EFB.html,a76126,我他媽就想問7年級第一劑在哪不要跟我說高端耖,AZ, 123.192.156.24 09/26 20:51 ,37,1,1,1,"我他媽,高端耖"
57,/bbs/Gossiping/M.1632580081.A.247.html,JackTheRippe,疫苗乞丐、AZ回收桶威名遠播,AZ, 114.47.222.190 09/25 22:38 ,10,1,4,2,"疫苗乞丐,AZ回收桶"
58,/bbs/Gossiping/M.1632548542.A.2E9.html,ahw12000,幹幹幹我上次打到泰國az這次給我日本az好噗好,AZ,   114.40.19.36 09/25 13:45 ,15,1,2,1,"幹幹幹,泰國az,日本az"
59,/bbs/Gossiping/M.1632548542.A.2E9.html,mscp,要飯仔政府真的來者不拒耶，誰送都收呢有本事怎麼不多去乞一點莫德納？只會回收人家準備丟垃圾桶的AZ？,AZ,    1.160.36.62 09/25 14:33 ,109,1,4,1,"要飯仔政府,乞,回收人家準備丟垃圾桶的AZ"
60,/bbs/Gossiping/M.1632539608.A.CC8.html,hikaru77613,乞討來的還選？沒這些你就要打高端啦！,AZ,    27.51.66.89 09/25 11:39 ,37,1,3,1,乞討來的
61,/bbs/Gossiping/M.1632539608.A.CC8.html,arblest60056,AZ是窮人疫苗當然會被黑,AZ,  42.73.168.142 09/25 11:47 ,45,1,1,2,"AZ,窮人疫苗"
62,/bbs/Gossiping/M.1632539608.A.CC8.html,wildsky,Az在國外現在就是不要的次級品，雖然抗重症不錯，台灣政府倒是開心當乞丐受別人不要的東西，德國政府都建議az第二劑混打mRNA了,AZ,     42.73.0.90 09/25 17:37 ,88,1,4,1,"Az,次級品,台灣政府,乞丐"
63,/bbs/Gossiping/M.1632539039.A.3A7.html,devicer,高端和中國疫苗以外都可以,AZ,  61.65.248.178 09/25 12:07 ,101,1,1,3,高端和中國疫苗以外都可以
64,/bbs/Gossiping/M.1632539039.A.3A7.html,JackaLMeI,如果開放韭菜怎麼混都是高端的命R,AZ,114.136.176.220 09/25 12:33 ,116,1,3,3,韭菜
65,/bbs/Gossiping/M.1632539039.A.3A7.html,shinjangli,不要高端都可以接受,AZ,    61.227.34.1 09/25 14:29 ,129,1,1,1,不要高端
66,/bbs/Gossiping/M.1632502525.A.6AF.html,yeangigi,===快回送高端，避被人當乞丐===,AZ, 36.225.166.142 09/25 01:32 ,6,1,3,1,乞丐
67,/bbs/Gossiping/M.1632501725.A.70D.html,sismiku,az也是韓柯糞口中的國際疫苗根本不用擔心穩得很,AZ, 114.136.232.94 09/25 00:49 ,27,1,3,2,韓柯糞
68,/bbs/Gossiping/M.1632501725.A.70D.html,sunny1225,台灣終究成為最頂的AZ回收國家讚喔,AZ, 219.85.178.101 09/25 01:09 ,59,1,2,2,AZ回收國家
69,/bbs/Gossiping/M.1632501725.A.70D.html,s860134,超屌世界AZ回收場,AZ,    27.246.5.75 09/25 02:49 ,122,1,2,2,AZ回收場
70,/bbs/Gossiping/M.1632501725.A.70D.html,joemi78,鬼島高端多到滿出來,AZ,    39.9.97.130 09/25 06:07 ,156,1,2,1,鬼島
71,/bbs/Gossiping/M.1632501725.A.70D.html,ChungLi5566,別的國家AZ當垃圾我們買的呢,AZ, 114.32.170.112 09/25 06:37 ,164,1,1,1,"AZ,垃圾"
72,/bbs/Gossiping/M.1632501725.A.70D.html,miuccina,不要再收沒用的AZ了啦！,AZ,   27.247.7.215 09/25 09:44 ,240,1,1,1,沒用的AZ
73,/bbs/Gossiping/M.1632492825.A.25A.html,donotsettle,別人不要的AZ台灣資源回收卻很開心,AZ, 123.194.42.149 09/24 22:14 ,3,1,2,1,AZ台灣資源回收
74,/bbs/Gossiping/M.1632492825.A.25A.html,bnb89225,拜託能不能送莫德納不要一直AZ,AZ,  223.136.62.74 09/24 22:19 ,35,1,1,3,不要一直AZ
75,/bbs/Gossiping/M.1632492825.A.25A.html,nitvx,因為是乞討的怎能挑AZ是人家都不要DER,AZ, 220.138.152.10 09/24 22:20 ,38,1,4,1,乞討
76,/bbs/Gossiping/M.1632492825.A.25A.html,meto,又送八卦板討厭的AZ,AZ, 180.217.33.143 09/24 22:21 ,41,1,3,1,
77,/bbs/Gossiping/M.1632492825.A.25A.html,monkeydog119,台派捧高端，卻一直乞AZ來打XDDD,AZ,  114.39.74.133 09/24 23:21 ,146,1,3,1,"捧高端,乞AZ"
78,/bbs/Gossiping/M.1632492825.A.25A.html,mvb,AZ丐幫,AZ,   119.14.84.91 09/25 00:54 ,205,1,3,2,AZ丐幫
79,/bbs/Gossiping/M.1632492825.A.25A.html,letmesee3085,丐幫不是都打高端，嘻嘻嘻嘻,AZ,   61.230.45.74 09/25 08:43 ,244,1,3,2,"丐幫,打高端"
80,/bbs/Gossiping/M.1632492825.A.25A.html,sismiku,韓柯糞笑死ㄌ何必崩潰？AZ全世界施打率最高的疫苗明明是不錯的有夠柯憐難怪打不到疫苗,AZ, 114.136.232.94 09/25 09:04 ,245,1,3,2,韓柯糞
81,/bbs/Gossiping/M.1632492825.A.25A.html,harry88910,別人捐疫苗八卦又要開始崩潰洗AZ沒人打真的悲哀,AZ,  114.46.167.46 09/25 10:24 ,255,1,3,1,"八卦,悲哀"
82,/bbs/Gossiping/M.1632387542.A.1A0.html,zainc,郭董說BNT有留3千萬劑，也沒看政府積極去買，再那乞討幾萬幾萬的AZ...,AZ,   1.171.146.42 09/23 17:07 ,8,1,4,1,"政府,乞討"
83,/bbs/Gossiping/M.1632383452.A.5A1.html,sunnyyoung,以後每年打兩劑AZ強身健(海綿)體,AZ,   49.216.58.55 09/23 16:00 ,58,1,0,0,
84,/bbs/Gossiping/M.1632383452.A.5A1.html,LoveMakeLove,跟輝瑞威而鋼原本是高山症用藥因為副作用變成壯陽藥一樣。,AZ,  36.226.204.61 09/23 16:03 ,69,1,1,2,輝瑞威而鋼
85,/bbs/Gossiping/M.1632383452.A.5A1.html,zold,AZ直接注射老二？？？？？？,AZ, 223.137.137.96 09/23 16:08 ,82,1,1,3,"AZ,注射老二"
86,/bbs/Gossiping/M.1632383452.A.5A1.html,philae1112,我打AZ軟了一天草泥馬,AZ,  49.217.197.92 09/23 17:29 ,158,1,5,2,草泥馬
87,/bbs/Gossiping/M.1632383452.A.5A1.html,LoveJapan,八卦肥宅選AZ衝三小又沒人幹,AZ,    1.34.82.225 09/23 19:33 ,210,1,3,2,"八卦肥宅,選AZ衝三小,幹"
88,/bbs/Gossiping/M.1632377169.A.208.html,kof2200,一針高端，健康存，不健康歿。比做健康檢查還準，哪裡不好？,AZ,114.136.150.255 09/23 14:13 ,11,1,1,3,"一針高端,不健康歿"
89,/bbs/Gossiping/M.1632372095.A.09C.html,keyofdejavu,az也是乞討到現在才沒那麼缺而已,AZ, 36.225.242.163 09/23 12:42 ,3,1,4,1,乞討
90,/bbs/Gossiping/M.1632372095.A.09C.html,xavier08,說AZ差的就表示你是低端人口,AZ,   27.52.99.201 09/23 12:47 ,11,1,3,2,"AZ差,低端人口"
91,/bbs/Gossiping/M.1632369784.A.616.html,guhong,我覺青朋友想打10劑高端,AZ,     1.200.34.6 09/23 12:04 ,14,1,3,3,覺青朋友
92,/bbs/Gossiping/M.1632369128.A.47F.html,meta41110,凸(???)凸美國爸爸承認BNT拿覽趴比沙小滾贛,AZ,114.40.74.197 09/23 11:54 ,5,1,5,2,拿覽趴比沙小滾贛
93,/bbs/Gossiping/M.1632369128.A.47F.html,cmq29,是郭台銘＋台積電付錢垃圾政府根本沒買BNT,AZ,1.171.245.223 09/23 11:55 ,10,1,4,1,垃圾政府
94,/bbs/Gossiping/M.1632369128.A.47F.html,wastetheone,bnt各方面來說都是乞討來的,AZ,114.46.191.248 09/23 11:56 ,16,1,1,1,"bnt,乞討來的"
95,/bbs/Gossiping/M.1632369128.A.47F.html,EXUAN,打了花錢的乞丐BNT的大學生上來問大家要打什麼？啊你都打完是要問什麼？,AZ,114.136.165.211 09/23 12:12 ,20,1,3,1,乞丐BNT
96,/bbs/Gossiping/M.1632367318.A.1E9.html,wawaking1,自己代理bnt結果韭菜沒資格打,AZ,114.136.106.134 09/23 11:23 ,4,1,3,3,韭菜
97,/bbs/Gossiping/M.1632364552.A.C0C.html,veryGY,乞丐國最高端,AZ,  114.25.36.150 09/23 10:40 ,11,1,2,1,乞丐國
98,/bbs/Gossiping/M.1632364552.A.C0C.html,LoliCar,在BNT前面AZ就跟小廢物一樣很難懂？,AZ,  101.10.13.253 09/23 10:42 ,15,1,1,2,AZ就跟小廢物一樣
99,/bbs/Gossiping/M.1632364552.A.C0C.html,shangguan125,因為AZ就很爛啊,AZ,  42.74.185.111 09/23 11:45 ,35,1,1,2,"AZ,爛"
100,/bbs/Gossiping/M.1632364552.A.C0C.html,JingJing00,立陶宛羅馬尼亞不夠窮啊你看打科興那幾個才真的窮,AZ,  79.231.109.69 09/23 12:55 ,41,1,2,1,"立陶宛羅馬尼亞不夠窮,打科興,窮"
101,/bbs/Gossiping/M.1632364457.A.EE3.html,SRadiant,BNT也是中國不要的垃圾，所以才先給我們了(掩面),AZ, 114.34.103.217 09/23 10:45 ,13,1,1,1,中國不要的垃圾
102,/bbs/Gossiping/M.1632364457.A.EE3.html,weijinsusu,現在的高端就是過去的裕隆，因為他卡了很多東西,AZ, 180.217.42.114 09/23 10:55 ,18,1,0,0,
103,/bbs/Gossiping/M.1632364457.A.EE3.html,linbasohigh,莫得納給二類官員跟家人都解壓縮完了，剩下AZ就留給韭菜，順便假掰說自己沒挑疫苗,AZ,  218.164.5.116 09/23 13:54 ,32,1,3,3,韭菜
104,/bbs/Gossiping/M.1632364156.A.2E3.html,pondaha,幹你媽是看我們高端沒有喔我們明明有最頂的高段還想捐AZ?敢挑戰我們台灣價值,AZ,223.200.250.121 09/23 10:34 ,4,1,1,2,"幹你媽,看,高端沒有"
105,/bbs/Gossiping/M.1632363812.A.620.html,michaelwu,一樓比起AZ更想全家打高端獻祭病毒,AZ,  1.164.234.249 09/23 10:26 ,3,1,3,3,"比起AZ,打高端獻祭病毒"
106,/bbs/Gossiping/M.1632362062.A.F83.html,omoideomoi,台：我們也不愛高端立：不收垃圾,AZ,  1.164.235.247 09/23 09:57 ,42,1,1,1,不收垃圾
107,/bbs/Gossiping/M.1632362062.A.F83.html,yeh0416,拜託多乞一點莫德納拉,AZ, 223.140.241.56 09/23 09:57 ,47,1,4,1,多乞一點莫德納
108,/bbs/Gossiping/M.1632362062.A.F83.html,Alphaz,寧願當乞丐也要把bnt拒於門外,AZ,223.137.186.141 09/23 09:59 ,74,1,1,1,"當乞丐,把bnt拒於門外"
109,/bbs/Gossiping/M.1632362062.A.F83.html,linfon00,要給小黑人們高端,AZ, 223.136.77.132 09/23 09:59 ,86,1,3,2,小黑人們
110,/bbs/Gossiping/M.1632362062.A.F83.html,skygray2,打AZ都比你去打那無良高端好多了,AZ,118.163.160.178 09/23 10:02 ,134,1,1,3,無良高端
111,/bbs/Gossiping/M.1632362062.A.F83.html,scum5566,就像別人跟我們要垃圾高端我們也一定捐,AZ,  114.41.53.242 09/23 10:18 ,397,1,1,1,垃圾高端
112,/bbs/Gossiping/M.1632362062.A.F83.html,scum5566,難怪政府不要明年3000萬bnt靠乞就行了,AZ,  114.41.53.242 09/23 10:20 ,429,1,4,1,bnt靠乞就行了
113,/bbs/Gossiping/M.1632362062.A.F83.html,dreamyello,廢物政府買不到莫跟bnt怪我囉,AZ,  42.72.228.242 09/23 10:21 ,440,1,4,2,廢物政府
114,/bbs/Gossiping/M.1632362062.A.F83.html,a00049g,沒莫德納bnt還是要懶趴捏著打AZ啊，某粉破腦邏輯,AZ,   39.13.230.92 09/23 10:27 ,515,1,3,2,"懶趴,打AZ,某粉破腦邏輯"
115,/bbs/Gossiping/M.1632362062.A.F83.html,stuangus,真的是先知，知道AZ會送窮國,AZ, 110.30.176.154 09/23 10:28 ,534,1,1,3,AZ會送窮國
116,/bbs/Gossiping/M.1632362062.A.F83.html,Sony5555,台灣有一堆自認高尚的猴子整天黑AZ,AZ,    42.74.59.57 09/23 10:32 ,603,1,3,2,自認高尚的猴子
117,/bbs/Gossiping/M.1632362062.A.F83.html,wenjie0810,台灣自購的AZ都還沒到貨完成明明就是賣方的錯，一堆智障帶風向政,AZ,   1.169.105.48 09/23 10:36 ,667,1,3,2,一堆智障帶風向政
118,/bbs/Gossiping/M.1632362062.A.F83.html,umum29,回贈高端以毒攻毒,AZ,  67.188.233.67 09/23 10:40 ,733,1,1,3,回贈高端以毒攻毒
119,/bbs/Gossiping/M.1632362062.A.F83.html,s6525480,滾回去政黑喝高端啦媽的,AZ, 114.136.208.24 09/23 10:55 ,912,1,5,2,"滾回去,媽的"
120,/bbs/Gossiping/M.1632362062.A.F83.html,a00049g,有人說有拿到就好怎麼洽談bnt的果凍還要被某陣營的潑冷水,AZ,   39.13.230.92 09/23 11:00 ,951,1,4,1,被某陣營的潑冷水
121,/bbs/Gossiping/M.1632362062.A.F83.html,icolee,沒關係台灣早就是AZ回收站了無所謂,AZ,  36.225.192.46 09/23 11:47 ,987,1,2,3,台灣早就是AZ回收站
122,/bbs/Gossiping/M.1632362062.A.F83.html,heyjude0929,可以回贈高端吧至少可當飛鏢用,AZ, 114.136.43.154 09/23 12:27 ,1114,1,1,3,"高端,當飛鏢用"
123,/bbs/Gossiping/M.1632362062.A.F83.html,aa2425,高端也不受歡迎可以回送立陶宛高端會不會被當垃圾丟掉阿？真想看,AZ, 180.217.47.171 09/23 12:43 ,1151,1,1,1,高端會不會當垃圾丟掉
124,/bbs/Gossiping/M.1632362062.A.F83.html,whycare,只要能降低致死率以及重症的疫苗就是好疫苗^^不是捐科興或國藥給台灣就好^^,AZ,  61.64.208.134 09/23 12:51 ,1171,1,0,0,
125,/bbs/Gossiping/M.1632362062.A.F83.html,pigofwind,雖然是實話但你不要說出口啊，又要被蟑螂說你在黑AZ,AZ,223.136.223.223 09/23 13:01 ,1193,1,3,2,蟑螂
126,/bbs/Gossiping/M.1632362062.A.F83.html,ms893030,八卦智障蠻多，又沒人逼你打AZ,AZ, 123.205.20.109 09/23 14:29 ,1273,1,3,2,八卦智障
127,/bbs/Gossiping/M.1632362062.A.F83.html,manlike,捐高端立陶宛：我們不收垃圾，謝謝,AZ,  101.10.15.105 09/23 16:29 ,1332,1,1,1,"捐高端,不收垃圾"
128,/bbs/Gossiping/M.1632318789.A.C2E.html,cytochrome,陳時中是不會多乞討一些BNT和莫德納嗎？尸位素餐的傢伙,AZ,     39.10.6.10 09/23 01:12 ,149,1,4,1,"陳時中,乞討,BNT和莫德納,尸位素餐"
129,/bbs/Gossiping/M.1632317686.A.C91.html,donotsettle,南韓去協商MRNA台灣專收資源回收AZ,AZ, 123.194.42.149 09/22 21:51 ,5,1,2,2,"台灣,資源回收AZ"
130,/bbs/Gossiping/M.1632316362.A.BE5.html,Belanice,什麼乞丐!我們有最頂的高端!回贈立陶宛!,AZ, 61.230.229.197 09/22 21:22 ,71,1,5,1,乞丐
131,/bbs/Gossiping/M.1632316362.A.BE5.html,ray920927,高端仔是不是精神分裂啊，來了高端就沒人打了怎麼會是柯韓粉崩潰,AZ, 180.217.20.103 09/22 23:47 ,219,1,3,3,高端仔
132,/bbs/Gossiping/M.1632304207.A.6AF.html,Pengs,怎麼會這麼無腦質疑美國會不認AZ阿?????美國最大盟友，英國，加拿大，歐盟其他國家去看看有多少人打AZ,AZ,111.241.228.128 09/25 11:57 ,9,1,3,2,無腦質疑
133,/bbs/Gossiping/M.1632301421.A.762.html,saiulbb,AZ>>>>>>>>>>>>>>>>>>>>>>>>>>>>高端懂?,AZ,61.56.143.149 09/22 17:05 ,24,1,1,3,"AZ,高端"
134,/bbs/Gossiping/M.1632301421.A.762.html,werqq,好的Az給我們低端打就好,AZ,111.83.160.227 09/22 17:05 ,25,1,3,2,"Az,低端"
135,/bbs/Gossiping/M.1632301421.A.762.html,JRanDer,高端仔崩潰開始瞎扯az了,AZ,223.141.139.66 09/22 17:07 ,41,1,3,3,"高端仔,瞎扯az"
136,/bbs/Gossiping/M.1632301421.A.762.html,DarkyIsCat,笑死高端仔就回去互舔傷口吧,AZ,101.12.18.22 09/22 17:09 ,75,1,3,3,高端仔
137,/bbs/Gossiping/M.1632301421.A.762.html,qwer338859,AZ有WHO認可穩過的腦子還好嗎==,AZ,180.218.176.165 09/22 17:32 ,186,1,5,1,腦子還好嗎
138,/bbs/Gossiping/M.1632301421.A.762.html,jesiuty,AZ正在討論中畢竟一堆人打你高義他媽砸碎誰理你？,AZ,114.47.220.74 09/22 17:59 ,241,1,5,2,他媽砸碎
139,/bbs/Gossiping/M.1632301421.A.762.html,jlu,膝蓋想都知道AZ一定可入美，除非你連膝蓋都沒,AZ,114.136.155.27 09/22 18:01 ,244,1,0,0,
140,/bbs/Gossiping/M.1632301421.A.762.html,pigofwind,會擔心AZ沒辦法入境美國的，腦子大概有洞,AZ,111.83.107.147 09/22 18:33 ,293,1,3,1,"腦子,有洞"
141,/bbs/Gossiping/M.1632301421.A.762.html,BIOS,拿AZ跟低端比笑死,AZ,   58.114.1.203 09/22 19:44 ,370,1,1,2,"AZ,低端"
